Email,Sources
northumbria.ac.uk,2 Oct 2016
marionegri.it,3 Oct 2016
imperial.ac.uk,3 Oct 2016
gmail.com,5 Oct 2016
cs.cf.ac.uk,6 Oct 2016
me.com,9 Oct 2016
bham.ac.uk,10 Oct 2016
bham.ac.uk,12 Oct 2016
live.co.uk,12 Oct 2016
diamond.ac.uk,13 Oct 2016
durham.ac.uk,14 Oct 2016
students.itb.ac.id,15 Oct 2016
gmail.com,16 Oct 2016
exeter.ac.uk,18 Oct 2016
bristol.ac.uk,19 Oct 2016
exeter.ac.uk,24 Oct 2016
stfc.ac.uk,26 Oct 2016
niwa.co.nz,27 Oct 2016
gmail.com,31 Oct 2016
turing.ac.uk,10 Nov 2016
gmail.com,14 Nov 2016
hotmail.com,15 Nov 2016
bristol.ac.uk,16 Nov 2016
newcastle.ac.uk,17 Nov 2016
asu.edu,17 Nov 2016
gmail.com,18 Nov 2016
newcastle.ac.uk,21 Nov 2016
gmail.com,25 Nov 2016
soton.ac.uk,28 Nov 2016
gmail.com,28 Nov 2016
esciencecenter.nl,29 Nov 2016
manchester.ac.uk,30 Nov 2016
bath.edu,1 Dec 2016
gmail.com,1 Dec 2016
mrc-lmb.cam.ac.uk,1 Dec 2016
nbn.org.uk,5 Dec 2016
qmul.ac.uk,9 Dec 2016
gfz-potsdam.de,9 Dec 2016
bristol.ac.uk,12 Dec 2016
gmail.com,12 Dec 2016
imperial.ac.uk,14 Dec 2016
os.helmholtz.de,15 Dec 2016
ukaea.uk,19 Dec 2016
jisc.ac.uk,21 Dec 2016
warwick.ac.uk,22 Dec 2016
bristol.ac.uk,23 Dec 2016
strath.ac.uk,23 Dec 2016
turing.ac.uk,4 Jan 2017
gmail.com,5 Jan 2017
gmx.net,6 Jan 2017
tchpc.tcd.ie,6 Jan 2017
manchester.ac.uk,11 Jan 2017
kluyver.me.uk,11 Jan 2017
uni-muenster.de,12 Jan 2017
ucl.ac.uk,12 Jan 2017
hu-berlin.de,13 Jan 2017
bath.ac.uk,20 Jan 2017
bnl.gov,21 Jan 2017
gmail.com,21 Jan 2017
nag.co.uk,23 Jan 2017
manchester.ac.uk,24 Jan 2017
bristol.ac.uk,24 Jan 2017
cern.ch,25 Jan 2017
imperial.ac.uk,25 Jan 2017
roehampton.ac.uk,25 Jan 2017
newcastle.ac.uk,26 Jan 2017
im.uu.se,30 Jan 2017
bristol.ac.uk,31 Jan 2017
gmail.com,4 Feb 2017
bath.ac.uk,6 Feb 2017
manchester.ac.uk,9 Feb 2017
rvc.ac.uk,13 Feb 2017
sussex.ac.uk,16 Feb 2017
gmail.com,17 Feb 2017
swansea.ac.uk,20 Feb 2017
qmul.ac.uk,21 Feb 2017
epcc.ed.ac.uk,23 Feb 2017
doctors.org.uk,23 Feb 2017
rolls-royce.com,23 Feb 2017
gmail.com,23 Feb 2017
irmb.tu-bs.de,24 Feb 2017
soton.ac.uk,28 Feb 2017
stfc.ac.uk,3 Mar 2017
ucl.ac.uk,3 Mar 2017
gmail.com,4 Mar 2017
maths.ox.ac.uk,6 Mar 2017
email.com,8 Mar 2017
pml.ac.uk,9 Mar 2017
nag.co.uk,9 Mar 2017
jic.ac.uk,9 Mar 2017
gmail.com,14 Mar 2017
sheffield.ac.uk,16 Mar 2017
gmail.com,16 Mar 2017
soton.ac.uk,17 Mar 2017
medschl.cam.ac.uk,21 Mar 2017
atm.ch.cam.ac.uk,21 Mar 2017
cam.ac.uk,21 Mar 2017
metoffice.gov.uk,22 Mar 2017
cam.ac.uk,22 Mar 2017
gmail.com,24 Mar 2017
turing.ac.uk,30 Mar 2017
gmail.com,31 Mar 2017
soton.ac.uk,31 Mar 2017
gmail.com,31 Mar 2017
manchester.ac.uk,2 Apr 2017
ecmwf.int,5 Apr 2017
cern.ch,7 Apr 2017
gmail.com,11 Apr 2017
uksbs.co.uk,13 Apr 2017
hotmail.com,13 Apr 2017
swansea.ac.uk,19 Apr 2017
sky.com,20 Apr 2017
metoffice.gov.uk,21 Apr 2017
stfc.ac.uk,21 Apr 2017
sheffield.ac.uk,21 Apr 2017
gmail.com,24 Apr 2017
bath.ac.uk,27 Apr 2017
hotmail.com,28 Apr 2017
bath.ac.uk,30 Apr 2017
physics.ox.ac.uk,2 May 2017
gmail.com,4 May 2017
ncl.ac.uk,5 May 2017
gmail.com,8 May 2017
gmail.com,8 May 2017
ed.ac.uk,9 May 2017
st-andrews.ac.uk,10 May 2017
aucklanduni.ac.nz,10 May 2017
hw.ac.uk,10 May 2017
gmail.com,10 May 2017
4oznuff.org.uk,11 May 2017
princeton.edu,11 May 2017
medschl.cam.ac.uk,12 May 2017
brunel.ac.uk,12 May 2017
ouce.ox.ac.uk,12 May 2017
nag.co.uk,15 May 2017
bath.ac.uk,16 May 2017
cam.ac.uk,17 May 2017
warwick.ac.uk,22 May 2017
metoffice.gov.uk,23 May 2017
metoffice.gov.uk,24 May 2017
plymouth.ac.uk,25 May 2017
warwick.ac.uk,25 May 2017
york.ac.uk,26 May 2017
ed.ac.uk,29 May 2017
ucl.ac.uk,30 May 2017
durham.ac.uk,30 May 2017
gmail.com,2 Jun 2017
gmail.com,5 Jun 2017
cs.stir.ac.uk,7 Jun 2017
leeds.ac.uk,8 Jun 2017
staff.hu-berlin.de,8 Jun 2017
manchester.ac.uk,8 Jun 2017
dlr.de,8 Jun 2017
exeter.ac.uk,8 Jun 2017
pik-potsdam.de,8 Jun 2017
pik-potsdam.de,8 Jun 2017
manchester.ac.uk,8 Jun 2017
cam.ac.uk,8 Jun 2017
ic.ac.uk,8 Jun 2017
covimo.de,8 Jun 2017
uit.no,8 Jun 2017
canarie.ca,8 Jun 2017
imperial.ac.uk,8 Jun 2017
yahoo.com,11 Jun 2017
gmail.com,12 Jun 2017
manchester.ac.uk,12 Jun 2017
mmu.ac.uk,13 Jun 2017
ucl.ac.uk,14 Jun 2017
warwick.ac.uk,19 Jun 2017
warwick.ac.uk,19 Jun 2017
newcastle.ac.uk,19 Jun 2017
sheffield.ac.uk,22 Jun 2017
univie.ac.at,22 Jun 2017
mrc-bsu.cam.ac.uk,22 Jun 2017
nyu.edu,22 Jun 2017
exeter.ac.uk,22 Jun 2017
epsrc.ac.uk,22 Jun 2017
leeds.ac.uk,22 Jun 2017
colorado.edu,22 Jun 2017
metoffice.gov.uk,22 Jun 2017
cam.ac.uk,22 Jun 2017
ecmwf.int,22 Jun 2017
stfc.ac.uk,22 Jun 2017
unimelb.edu.au,22 Jun 2017
nottingham.ac.uk,22 Jun 2017
gmail.com,22 Jun 2017
soton.ac.uk,27 Jun 2017
stfc.ac.uk,27 Jun 2017
